State,Local Hospital Network (LHN),Hospital Name,Granularity,Sector,Number of bed (Actual),Number of clincial staff,Status,Notes
ACT,,,State,PUBLIC,,3606,,
,Australian Capital Territory,,LHN,PUBLIC,,,Untouched,
,,QEII FAMILY CENTRE,Facility,PUBLIC,<50,,,
,,THE CANBERRA HOSPITAL,Facility,PUBLIC,>500,,,
,,CALVARY PUBLIC HOSPITAL,Facility,PUBLIC,200-500,,Discovery,Strong IMedX relationship
,,UNIVERSITY OF CANBERRA HOSPITAL,Facility,PUBLIC,,,,
NSW,,,State,PUBLIC,,"115,503",,
,Central Coast Local Health District,,LHN,PUBLIC,,5999,Untouched,
,,GOSFORD HOSPITAL,Facility,PUBLIC,200-500,,,
,,WOY WOY HOSPITAL,Facility,PUBLIC,50-99,,,
,,LONG JETTY HEALTH CARE CENTRE,Facility,PUBLIC,<50,,,
,,WYONG HOSPITAL,Facility,PUBLIC,200-500,,,
,Far West Local Health District,,LHN,PUBLIC,,803,Untouched,
,,BALRANALD MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,,
,,BROKEN HILL HOSPITAL,Facility,PUBLIC,100-199,,Qualified,
,,IVANHOE HOSPITAL,Facility,PUBLIC,<50,,,
,,TIBOOBURRA HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,WENTWORTH HOSPITAL,Facility,PUBLIC,<50,,,
,,WILCANNIA MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,Discovery,
,,Menindee Health Service,Facility,PUBLIC,,,,
,Hunter New England Local Health District,,LHN,PUBLIC,,13752,Qualified,
,,TOMAREE HOSPITAL,Facility,PUBLIC,<50,,,
,,BARRABA MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,,
,,BINGARA MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,,
,,BOGGABRI MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,,
,,MUSWELLBROOK HOSPITAL,Facility,PUBLIC,50-99,,,
,,DENMAN MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,Discovery,
,,BULAHDELAH HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,CESSNOCK HOSPITAL,Facility,PUBLIC,<50,,Qualified,
,,DUNGOG HOSPITAL,Facility,PUBLIC,<50,,,
,,GLEN INNES HOSPITAL,Facility,PUBLIC,<50,,,
,,GLOUCESTER HOSPITAL,Facility,PUBLIC,50-99,,Discovery,
,,GUNNEDAH HOSPITAL,Facility,PUBLIC,<50,,,
,,GUYRA MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,,
,,INVERELL HOSPITAL,Facility,PUBLIC,<50,,,
,,KURRI KURRI HOSPITAL,Facility,PUBLIC,50-99,,Qualified,
,,MANILLA HOSPITAL,Facility,PUBLIC,50-99,,Discovery,
,,MANNING HOSPITAL,Facility,PUBLIC,100-199,,,
,,MERRIWA MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,Discovery,
,,MOREE HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,NARRABRI HOSPITAL,Facility,PUBLIC,<50,,,
,,CALVARY MATER NEWCASTLE HOSPITAL,Facility,PUBLIC,100-199,,Discovery,
,,TENTERFIELD HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,QUIRINDI HOSPITAL,Facility,PUBLIC,<50,,Qualified,
,,SCONE HOSPITAL,Facility,PUBLIC,<50,,,
,,SINGLETON HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,TAMWORTH HOSPITAL,Facility,PUBLIC,200-500,,Discovery,
,,TINGHA MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,Pilot,
,,VEGETABLE CREEK MULTI PURPOSE SERVICE EMMAVILLE,Facility,PUBLIC,<50,,Qualified,
,,WALCHA MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,Pilot,
,,WARIALDA MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,Discovery,
,,WEE WAA HOSPITAL,Facility,PUBLIC,<50,,,
,,WERRIS CREEK HOSPITAL,Facility,PUBLIC,<50,,Qualified,
,,"WILSON MEMORIAL COMMUNITY HOSPITAL, MURRURUNDI",Facility,PUBLIC,<50,,Qualified,Awaiting procurement outcome
,,BELMONT HOSPITAL,Facility,PUBLIC,100-199,,,
,,WINGHAM HOSPITAL,Facility,PUBLIC,<50,,Qualified,
,,Hunter New England Local Health District Mater Mental Health Service,Facility,PUBLIC,,,Discovery,
,,Armidale Hospital,Facility,PUBLIC,,,Qualified,
,,MAITLAND HOSPITAL,Facility,PUBLIC,100-199,,,
,,John Hunter Hospital,Facility,PUBLIC,,,,
,,Morisset Hospital,Facility,PUBLIC,,,Discovery,
,,JOHN HUNTER HOSPITAL ROYAL NEWCASTLE CENTRE,Facility,PUBLIC,,,Discovery,
,,MAITLAND HOSPITAL (NSW),Facility,PUBLIC,,,,
,,ARMIDALE RURAL REFERRAL HOSPITAL,Facility,PUBLIC,,,Discovery,
,,HUNTER NEW ENGLAND MATER MENTAL HEALTH SERVICE,Facility,PUBLIC,100-199,,,
,Illawarra Shoalhaven Local Health District,,LHN,PUBLIC,,6487,Qualified,
,,SHELLHARBOUR HOSPITAL,Facility,PUBLIC,100-199,,,
,,BULLI HOSPITAL,Facility,PUBLIC,50-99,,Discovery,
,,COLEDALE HOSPITAL,Facility,PUBLIC,<50,,,
,,DAVID BERRY HOSPITAL,Facility,PUBLIC,<50,,,
,,MILTON ULLADULLA HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,SHOALHAVEN HOSPITAL,Facility,PUBLIC,100-199,,Qualified,
,,WOLLONGONG HOSPITAL,Facility,PUBLIC,200-500,,Discovery,
,,PORT KEMBLA HOSPITAL,Facility,PUBLIC,50-99,,,
,,Illawarra Mental Health Services,Facility,PUBLIC,,,Discovery,
,,Kiama Hospital,Facility,PUBLIC,,,Discovery,
,Justice Health & Forensic Mental Health,,LHN,PUBLIC,,904,Qualified,
,,JUSTICE HEALTH SERVICES,Facility,PUBLIC,200-500,,,
,Mid North Coast Local Health District,,LHN,PUBLIC,,4143,Qualified,
,,BELLINGER RIVER DISTRICT HOSPITAL,Facility,PUBLIC,<50,,,
,,Coffs Harbour Hospital,Facility,PUBLIC,200-500,,,
,,DORRIGO MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,Qualified,
,,KEMPSEY HOSPITAL,Facility,PUBLIC,50-99,,,
,,MACKSVILLE HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,WAUCHOPE HOSPITAL,Facility,PUBLIC,<50,,,
,,Port Macquarie Hospital,Facility,PUBLIC,,,,
,Murrumbidgee Local Health District,,LHN,PUBLIC,,3693,Untouched,
,,BARHAM HOSPITAL,Facility,PUBLIC,<50,,,
,,BATLOW/ADELONG MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,,
,,BERRIGAN MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,,
,,BOOROWA MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,,
,,COOTAMUNDRA HOSPITAL,Facility,PUBLIC,<50,,,
,,COROWA HOSPITAL,Facility,PUBLIC,50-99,,Discovery,
,,CULCAIRN MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,,
,,DENILIQUIN HOSPITAL,Facility,PUBLIC,<50,,Qualified,Awaiting procurement outcome
,,FINLEY HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,GRIFFITH HOSPITAL,Facility,PUBLIC,50-99,,Discovery,
,,GUNDAGAI HOSPITAL,Facility,PUBLIC,<50,,,
,,HAY HOSPITAL,Facility,PUBLIC,<50,,Competitor,Lyrebird signed 1+1+1 contract
,,HENTY MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,Qualified,
,,HILLSTON HOSPITAL,Facility,PUBLIC,<50,,,
,,HOLBROOK HOSPITAL,Facility,PUBLIC,<50,,,
,,JERILDERIE MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,Discovery,
,,JUNEE MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,Qualified,
,,COOLAMON MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,,
,,LAKE CARGELLIGO MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,Qualified,
,,LEETON HOSPITAL,Facility,PUBLIC,50-99,,Discovery,
,,LOCKHART HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,URANA MULTI PURPOSE SERVICE,Facility,PUBLIC,<50,,Qualified,
,,MERCY CARE HOSPITAL - ALBURY,Facility,PUBLIC,<50,,,
,,MERCY CARE HOSPITAL - YOUNG,Facility,PUBLIC,<50,,Discovery,
,,MURRUMBURRAH-HARDEN HOSPITAL,Facility,PUBLIC,<50,,Contracting,
